feature,importance_full,importance_decoupled,is_leaky
max_failure_streak,0.2395659146312012,,1
invalid_user_attempts,0.22401354929230932,0.47674648302613454,0
failure_ratio,0.15783245263630713,,1
unique_users_ratio,0.15208971436339186,,1
has_valid_user_attempt,0.09325559409756294,,1
session_duration,0.06506147274034,0.2256972737953583,0
attempts_per_second,0.04934750002784615,0.18374419574914558,0
is_single_event,0.01059954549940439,0.05528472255674506,0
has_root_attempt,0.006752102957151351,0.04518271785740169,0
has_reverse_mapping_failed,0.0014791237392068983,0.013290777675782812,0
is_private,3.030015278792188e-06,5.38293394320151e-05,0
